problema;Manne funcao_objetivo;Manne mip_relative_gap;Manne best_bound;Manne nb_iterations;Manne time;MinLA funcao_objetivo;MinLA mip_relative_gap;MinLA best_bound;MinLA nb_iterations;MinLA time;Manne Rel. funcao_objetivo;Manne Rel. nb_iterations;Manne Rel. time;MinLA Rel. funcao_objetivo;MinLA Rel. nb_iterations;MinLA Rel. time;fl_funcao_objetivo;dif_funcao_objetivo;fl_best_bound;dif_best_bound;fl_mip_relative_gap;dif_mip_relative_gap;fl_time;dif_time;rel_fl_funcao_objetivo;rel_dif_funcao_objetivo;rel_fl_time;rel_dif_time
ID000_M003_J004;29,000000000000004;0,0;29,000000000000004;70;0,06896710395812988;29,0;0,0;29,0;45;0,0036649703979492188;23,0;21;0,0003590583801269531;24,492644002992268;43;0,0005769729614257812;False;-3,552713678800501e-15;False;-3,552713678800501e-15;False;0,0;False;-0,06530213356018066;True;1,492644002992268;True;0,00021791458129882812
ID000_M003_J005;33,0;0,0;33,0;406;0,008345842361450195;33,0;0,0;33,0;500;0,03185319900512695;23,0;32;0,0003809928894042969;28,558613184079604;58;0,0006818771362304688;False;0,0;False;0,0;False;0,0;True;0,023507356643676758;True;5,558613184079604;True;0,0003008842468261719
ID000_M015_J015;1222,9999999999993;0,09403107113654183;1107,9999999999993;67863624;1800,007766008377;1210,0;0,0;1210,0;14962612;510,6475930213928;963,0;1032;0,0186460018157959;982,4701986754968;2878;0,09312200546264648;False;-12,999999999999318;True;102,00000000000068;False;-0,09403107113654183;False;-1289,3601729869843;True;19,470198675496817;True;0,07447600364685059
ID001_M015_J015;1190,0;0,06890756302520429;1108,0;105091992;1800,0061058998108;1211,0;0,1328659549685106;1050,0993285331203;35401844;1800,0206830501556;942,0;1023;0,018229961395263672;945,6247810339937;3011;0,1092219352722168;True;21,0;False;-57,90067146687966;True;0,06395839194330633;True;0,014577150344848633;True;3,624781033993713;True;0,09099197387695312
ID002_M015_J015;1213,0;0,08624810435715122;1108,381049414767;89392872;1800,0065488815308;1247,0000000000018;0,16926645454465822;1035,9247311827958;39569102;1800,0179090499878;921,0;1145;0,02219986915588379;947,845637583893;2431;0,09043097496032715;True;34,00000000000182;False;-72,45631823197118;True;0,083018350187507;True;0,01136016845703125;True;26,845637583892994;True;0,06823110580444336
ID003_M015_J015;1180,0;0,07457627118643435;1092,0;107472015;1800,006796836853;1196,0;0,13602525070927166;1033,3138001516975;37725164;1800,0132870674133;911,0;1052;0,01974010467529297;911,0;2439;0,08437108993530273;True;16,0;False;-58,68619984830252;True;0,0614489795228373;True;0,006490230560302734;False;0,0;True;0,06463098526000977
ID004_M015_J015;1263,0;0,13964306955117056;1086,6308031568576;78953964;1800,0065310001373;1270,0;0,12795171547001702;1107,5013213530656;40731805;1800,0155079364777;940,0;1056;0,01936793327331543;975,6942503668225;2901;0,0896759033203125;True;7,0;True;20,870518196207968;False;-0,011691354081153543;True;0,008976936340332031;True;35,69425036682253;True;0,07030797004699707
ID005_M015_J015;1162,0000000000014;6,620137061599071e-05;1161,9230740073456;104764931;1685,9093940258026;1183,0;0,12400098172097718;1036,3068386240716;38351208;1800,0155119895935;849,0;1107;0,02140188217163086;915,0571519412488;3228;0,11196708679199219;True;20,999999999998636;False;-125,61623538327399;True;0,12393478035036119;True;114,1061179637909;True;66,05715194124878;True;0,09056520462036133
ID006_M015_J015;1243,0;8,816495663458405e-05;1242,8904109589032;35440840;560,6122159957886;1243,0;9,418597733822932e-05;1242,8829268301686;37456426;1159,2579200267792;935,0;1133;0,021667957305908203;979,4327546182906;3042;0,09189414978027344;False;0,0;False;-0,007484128734631668;True;6,021020703645262e-06;True;598,6457040309906;True;44,43275461829057;True;0,07022619247436523
ID007_M015_J015;1181,0000000000023;1,1185822199818567e-10;1180,9999998678977;4004919;88,7526421546936;1181,0;0,0;1181,0;5210358;264,2797920703888;963,0;966;0,01687788963317871;963,0;2613;0,08204197883605957;False;-2,2737367544323206e-12;True;1,3210228644311428e-07;False;-1,1185822199818567e-10;True;175,5271499156952;False;0,0;True;0,06516408920288086
