problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 70; 132; integer optimal solution; 0.06896710395812988; False;  
ID000_M003_J004; minla_fav; 3; 4; True; 29.0; 29.0; 0.0; 140; 67; 21; 45; 376; integer optimal solution; 0.0036649703979492188; False;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.0003590583801269531; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.492644002992268; nan; 140; 67; 23; 43; 376; optimal; 0.0005769729614257812; False;  
ID000_M003_J005; manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 31; 406; 210; integer optimal solution; 0.008345842361450195; False;  
ID000_M003_J005; minla_fav; 3; 5; True; 33.0; 33.0; 0.0; 220; 136; 27; 500; 605; integer optimal solution; 0.03185319900512695; False;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003809928894042969; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 28.558613184079604; nan; 220; 136; 37; 58; 605; optimal; 0.0006818771362304688; False;  
ID000_M015_J015; manne; 15; 15; True; 1107.9999999999993; 1222.9999999999993; 0.09403107113654183; 3375; 1801; 1000; 67863624; 9900; time limit exceeded; 1800.007766008377; True;  
ID000_M015_J015; minla_fav; 15; 15; True; 1210.0; 1210.0; 0.0; 10110; 22276; 1025; 14962612; 29445; integer optimal solution; 510.6475930213928; False;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.0186460018157959; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 982.4701986754968; nan; 10110; 22276; 1168; 2878; 29445; optimal; 0.09312200546264648; False;  
ID001_M015_J015; manne; 15; 15; True; 1108.0; 1190.0; 0.06890756302520429; 3375; 1801; 994; 105091992; 9900; time limit exceeded; 1800.0061058998108; True;  
ID001_M015_J015; minla_fav; 15; 15; True; 1050.0993285331203; 1211.0; 0.1328659549685106; 10110; 22276; 999; 35401844; 29445; time limit exceeded; 1800.0206830501556; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.018229961395263672; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 945.6247810339937; nan; 10110; 22276; 1201; 3011; 29445; optimal; 0.1092219352722168; False;  
ID002_M015_J015; manne; 15; 15; True; 1108.381049414767; 1213.0; 0.08624810435715122; 3375; 1801; 1001; 89392872; 9900; time limit exceeded; 1800.0065488815308; True;  
ID002_M015_J015; minla_fav; 15; 15; True; 1035.9247311827958; 1247.0000000000018; 0.16926645454465822; 10110; 22276; 997; 39569102; 29445; time limit exceeded; 1800.0179090499878; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.02219986915588379; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 947.845637583893; nan; 10110; 22276; 1146; 2431; 29445; optimal; 0.09043097496032715; False;  
ID003_M015_J015; manne; 15; 15; True; 1092.0; 1180.0; 0.07457627118643435; 3375; 1801; 1048; 107472015; 9900; time limit exceeded; 1800.006796836853; True;  
ID003_M015_J015; minla_fav; 15; 15; True; 1033.3138001516975; 1196.0; 0.13602525070927166; 10110; 22276; 1014; 37725164; 29445; time limit exceeded; 1800.0132870674133; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.01974010467529297; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 911.0; nan; 10110; 22276; 1150; 2439; 29445; optimal; 0.08437108993530273; False;  
ID004_M015_J015; manne; 15; 15; True; 1086.6308031568576; 1263.0; 0.13964306955117056; 3375; 1801; 1072; 78953964; 9900; time limit exceeded; 1800.0065310001373; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 1107.5013213530656; 1270.0; 0.12795171547001702; 10110; 22276; 1084; 40731805; 29445; time limit exceeded; 1800.0155079364777; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.01936793327331543; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.6942503668225; nan; 10110; 22276; 1187; 2901; 29445; optimal; 0.0896759033203125; False;  
ID005_M015_J015; manne; 15; 15; True; 1161.9230740073456; 1162.0000000000014; 6.620137061599071e-05; 3375; 1801; 1010; 104764931; 9900; integer optimal, tolerance; 1685.9093940258026; False;  
ID005_M015_J015; minla_fav; 15; 15; True; 1036.3068386240716; 1183.0; 0.12400098172097718; 10110; 22276; 1050; 38351208; 29445; time limit exceeded; 1800.0155119895935; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02140188217163086; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.0571519412488; nan; 10110; 22276; 1185; 3228; 29445; optimal; 0.11196708679199219; False;  
ID006_M015_J015; manne; 15; 15; True; 1242.8904109589032; 1243.0; 8.816495663458405e-05; 3375; 1801; 975; 35440840; 9900; integer optimal, tolerance; 560.6122159957886; False;  
ID006_M015_J015; minla_fav; 15; 15; True; 1242.8829268301686; 1243.0; 9.418597733822932e-05; 10110; 22276; 964; 37456426; 29445; integer optimal, tolerance; 1159.2579200267792; False;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.021667957305908203; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 979.4327546182906; nan; 10110; 22276; 1137; 3042; 29445; optimal; 0.09189414978027344; False;  
ID007_M015_J015; manne; 15; 15; True; 1180.9999998678977; 1181.0000000000023; 1.1185822199818567e-10; 3375; 1801; 1041; 4004919; 9900; integer optimal, tolerance; 88.7526421546936; False;  
ID007_M015_J015; minla_fav; 15; 15; True; 1181.0; 1181.0; 0.0; 10110; 22276; 1040; 5210358; 29445; integer optimal solution; 264.2797920703888; False;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.01687788963317871; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.0; nan; 10110; 22276; 1137; 2613; 29445; optimal; 0.08204197883605957; False;  
ID008_M015_J015; manne; 15; 15; True; 1164.5988700573157; 1322.9999998445016; 0.11972874512909416; 3375; 1801; 1008; 104490195; 9900; time limit exceeded; 1800.0057721138; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1120.3538892583792; 1349.0; 0.16949303983810513; 10110; 22276; 973; 42423463; 29445; time limit exceeded; 1800.094983100891; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.021770000457763672; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3756895899518; nan; 10110; 22276; 1139; 2878; 29445; optimal; 0.09456801414489746; False;  
ID009_M015_J015; manne; 15; 15; True; 1073.9999999999995; 1240.0000000000005; 0.13387096774192536; 3375; 1801; 1049; 59390644; 9900; time limit exceeded; 1800.00616812706; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 1159.0; 1219.0; 0.04922067268252262; 10110; 22276; 1109; 44089576; 29445; time limit exceeded; 1800.0283880233765; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.020885944366455078; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 988.8829191933199; nan; 10110; 22276; 1152; 3110; 29445; optimal; 0.09138107299804688; False;  
ID000_M015_J020; manne; 15; 20; True; 1061.4435460158797; 1506.0; 0.29519020848877203; 6000; 3151; 1865; 72612914; 17700; time limit exceeded; 1801.1744830608368; True;  
ID000_M015_J020; minla_fav; 15; 20; True; 1036.7319355811915; 1686.0000000000002; 0.3850937511380606; 17980; 54451; 1712; 25969562; 52760; time limit exceeded; 1800.027673959732; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.048738956451416016; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 992.1796252084564; nan; 17980; 54451; 2130; 31; 52760; optimal; 0.30820202827453613; False;  
ID001_M015_J020; manne; 15; 20; True; 1069.1051625239015; 1584.9999999999993; 0.3254857018776438; 6000; 3151; 1758; 70078227; 17700; time limit exceeded; 1801.7715198993683; True;  
ID001_M015_J020; minla_fav; 15; 20; True; 1100.106408520524; 1708.0; 0.3559095968849183; 17980; 54451; 1748; 18118032; 52760; time limit exceeded; 1800.0254559516907; True;  
ID001_M015_J020; manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.04254412651062012; False;  
ID001_M015_J020; minla_fav; 15; 20; False; nan; 1031.4636608621906; nan; 17980; 54451; 2151; 28; 52760; optimal; 0.31868910789489746; False;  
ID002_M015_J020; manne; 15; 20; True; 1130.4672887881247; 1471.0000000000007; 0.23149742434524312; 6000; 3151; 1602; 62096262; 17700; time limit exceeded; 1800.0642938613892; True;  
ID002_M015_J020; minla_fav; 15; 20; True; 1107.9289140465917; 1663.9999999999998; 0.33417733530851845; 17980; 54451; 1791; 33155975; 52760; time limit exceeded; 1800.040559053421; True;  
ID002_M015_J020; manne; 15; 20; False; nan; 919.0; nan; 6000; 3151; 1906; 1905; 17700; optimal; 0.04344296455383301; False;  
ID002_M015_J020; minla_fav; 15; 20; False; nan; 1057.7602784273863; nan; 17980; 54451; 1994; 33; 52760; optimal; 0.27855491638183594; False;  
ID003_M015_J020; manne; 15; 20; True; 1023.1348303151753; 1468.0; 0.30304166872261196; 6000; 3151; 1707; 69758890; 17700; time limit exceeded; 1800.6772730350494; True;  
ID003_M015_J020; minla_fav; 15; 20; True; 1048.9999999999995; 1626.0000000000016; 0.35485854858546495; 17980; 54451; 1846; 22091139; 52760; time limit exceeded; 1800.1614789962769; True;  
ID003_M015_J020; manne; 15; 20; False; nan; 990.0; nan; 6000; 3151; 1976; 1975; 17700; optimal; 0.046157121658325195; False;  
ID003_M015_J020; minla_fav; 15; 20; False; nan; 1004.1357422213899; nan; 17980; 54451; 2024; 27; 52760; optimal; 0.2771291732788086; False;  
ID004_M015_J020; manne; 15; 20; True; 1029.9882537693145; 1597.9999999999993; 0.3554516559641111; 6000; 3151; 1591; 68401533; 17700; time limit exceeded; 1801.0641450881958; True;  
ID004_M015_J020; minla_fav; 15; 20; True; 1108.6034571796647; 1656.9999999999998; 0.3309574790707918; 17980; 54451; 1758; 35759344; 52760; time limit exceeded; 1800.063374042511; True;  
ID004_M015_J020; manne; 15; 20; False; nan; 880.0; nan; 6000; 3151; 1824; 1823; 17700; optimal; 0.04553413391113281; False;  
ID004_M015_J020; minla_fav; 15; 20; False; nan; 1053.1511547726268; nan; 17980; 54451; 1989; 8080; 52760; optimal; 0.26933789253234863; False;  
ID005_M015_J020; manne; 15; 20; True; 1079.4213836478011; 1545.0; 0.3013453827522128; 6000; 3151; 1765; 72662475; 17700; time limit exceeded; 1801.7991540431976; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 1197.8472856374055; 1626.0; 0.2633165524985044; 17980; 54451; 1746; 36318109; 52760; time limit exceeded; 1800.1393871307373; True;  
ID005_M015_J020; manne; 15; 20; False; nan; 932.0; nan; 6000; 3151; 1938; 1937; 17700; optimal; 0.04814291000366211; False;  
ID005_M015_J020; minla_fav; 15; 20; False; nan; 1141.3457533407181; nan; 17980; 54451; 1900; 6941; 52760; optimal; 0.23436999320983887; False;  
ID006_M015_J020; manne; 15; 20; True; 1070.8668453748614; 1585.0; 0.3243742300473856; 6000; 3151; 1666; 72274135; 17700; time limit exceeded; 1801.0137600898743; True;  
ID006_M015_J020; minla_fav; 15; 20; True; 1203.8920895355504; 1782.9999999999986; 0.3247941169177881; 17980; 54451; 1755; 31037107; 52760; time limit exceeded; 1800.044569015503; True;  
ID006_M015_J020; manne; 15; 20; False; nan; 979.0; nan; 6000; 3151; 1841; 1840; 17700; optimal; 0.04808783531188965; False;  
ID006_M015_J020; minla_fav; 15; 20; False; nan; 1106.4980710952973; nan; 17980; 54451; 2103; 31; 52760; optimal; 0.2689938545227051; False;  
ID007_M015_J020; manne; 15; 20; True; 1051.8598726114649; 1563.9999999999998; 0.3274553244172009; 6000; 3151; 1861; 72285163; 17700; time limit exceeded; 1800.9612321853638; True;  
ID007_M015_J020; minla_fav; 15; 20; True; 1075.3449587338234; 1746.0000000000016; 0.38410941653272573; 17980; 54451; 1644; 26333529; 52760; time limit exceeded; 1800.027291059494; True;  
ID007_M015_J020; manne; 15; 20; False; nan; 900.0; nan; 6000; 3151; 2003; 2002; 17700; optimal; 0.04773688316345215; False;  
ID007_M015_J020; minla_fav; 15; 20; False; nan; 1027.4873672272474; nan; 17980; 54451; 2036; 8294; 52760; optimal; 0.32208681106567383; False;  
ID008_M015_J020; manne; 15; 20; True; 1013.7894736842102; 1511.000000000001; 0.3290605733393498; 6000; 3151; 1747; 66000397; 17700; time limit exceeded; 1801.6926591396332; True;  
ID008_M015_J020; minla_fav; 15; 20; True; 1065.9612981212206; 1660.0; 0.35785463968599013; 17980; 54451; 1609; 32648762; 52760; time limit exceeded; 1800.0939128398895; True;  
ID008_M015_J020; manne; 15; 20; False; nan; 920.0; nan; 6000; 3151; 1937; 1936; 17700; optimal; 0.05433988571166992; False;  
ID008_M015_J020; minla_fav; 15; 20; False; nan; 1026.7776752018904; nan; 17980; 54451; 2031; 31; 52760; optimal; 0.30400514602661133; False;  
ID009_M015_J020; manne; 15; 20; True; 1038.9999999999998; 1545.000000000002; 0.3275080906148666; 6000; 3151; 1678; 73675793; 17700; time limit exceeded; 1802.455680847168; True;  
ID009_M015_J020; minla_fav; 15; 20; True; 1082.1695870634207; 1665.0; 0.35004829605798454; 17980; 54451; 1749; 28422913; 52760; time limit exceeded; 1800.105523109436; True;  
ID009_M015_J020; manne; 15; 20; False; nan; 928.0; nan; 6000; 3151; 1839; 1838; 17700; optimal; 0.03769207000732422; False;  
ID009_M015_J020; minla_fav; 15; 20; False; nan; 1026.9079265126534; nan; 17980; 54451; 2116; 28; 52760; optimal; 0.31239914894104004; False;  
ID000_M020_J020; manne; 20; 20; True; 1315.0000000000023; 1778.9999999999998; 0.2608206857785112; 8000; 4201; 2148; 55989869; 23600; time limit exceeded; 1800.8384540081024; True;  
ID000_M020_J020; minla_fav; 20; 20; True; 1304.2462697571357; 1823.0; 0.28456046639760607; 23980; 72601; 2412; 21043171; 70360; time limit exceeded; 1800.0256431102753; True;  
ID000_M020_J020; manne; 20; 20; False; nan; 1217.0; nan; 8000; 4201; 2182; 2181; 23600; optimal; 0.06372404098510742; False;  
ID000_M020_J020; minla_fav; 20; 20; False; nan; 1218.9738850053536; nan; 23980; 72601; 2605; 30; 70360; optimal; 0.3964049816131592; False;  
ID001_M020_J020; manne; 20; 20; True; 1299.8113391761801; 1788.9999999999995; 0.27344251583219237; 8000; 4201; 2183; 54196191; 23600; time limit exceeded; 1800.0121829509735; True;  
ID001_M020_J020; minla_fav; 20; 20; True; 1279.1959805968795; 1897.0000000000005; 0.32567423268481194; 23980; 72601; 2262; 19236507; 70360; time limit exceeded; 1800.0389831066132; True;  
ID001_M020_J020; manne; 20; 20; False; nan; 1223.0; nan; 8000; 4201; 2520; 2519; 23600; optimal; 0.06854009628295898; False;  
ID001_M020_J020; minla_fav; 20; 20; False; nan; 1223.0; nan; 23980; 72601; 2596; 23; 70360; optimal; 0.34539103507995605; False;  
ID002_M020_J020; manne; 20; 20; True; 1288.0; 1802.0; 0.2852386237513715; 8000; 4201; 2263; 51796311; 23600; time limit exceeded; 1801.1914839744568; True;  
ID002_M020_J020; minla_fav; 20; 20; True; 1304.9999999999998; 1877.0; 0.3047416089504367; 23980; 72601; 2321; 18285862; 70360; time limit exceeded; 1800.026654958725; True;  
ID002_M020_J020; manne; 20; 20; False; nan; 1164.0; nan; 8000; 4201; 2459; 2458; 23600; optimal; 0.06532001495361328; False;  
ID002_M020_J020; minla_fav; 20; 20; False; nan; 1212.6205303086638; nan; 23980; 72601; 2463; 9854; 70360; optimal; 0.34943604469299316; False;  
ID003_M020_J020; manne; 20; 20; True; 1291.0887573964494; 1857.0; 0.3047448802388369; 8000; 4201; 2359; 55696163; 23600; time limit exceeded; 1801.3894309997559; True;  
ID003_M020_J020; minla_fav; 20; 20; True; 1274.2470564695977; 1976.0; 0.35513812931698724; 23980; 72601; 2339; 15232514; 70360; time limit exceeded; 1800.029788017273; True;  
ID003_M020_J020; manne; 20; 20; False; nan; 1151.0; nan; 8000; 4201; 2431; 2430; 23600; optimal; 0.06610417366027832; False;  
ID003_M020_J020; minla_fav; 20; 20; False; nan; 1216.473098639888; nan; 23980; 72601; 2669; 35; 70360; optimal; 0.3332211971282959; False;  
ID004_M020_J020; manne; 20; 20; True; 1310.9999999999995; 1821.000000000001; 0.2800658978583048; 8000; 4201; 2105; 53331204; 23600; time limit exceeded; 1800.7713601589203; True;  
